level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	31	1	1	2	1262	272	39	12	96	NAPLÓ
2	1	32	0	0	0	373	310	757	18	-1	
3	1	32	1	0	0	373	310	757	18	-1	
4	1	32	1	1	0	373	310	757	18	-1	
5	1	32	1	1	1	373	313	22	11	95	 
5	1	32	1	1	2	1025	310	105	18	95	 
2	1	33	0	0	0	367	317	137	28	-1	
3	1	33	1	0	0	367	317	137	28	-1	
4	1	33	1	1	0	367	317	5	7	-1	
5	1	33	1	1	1	367	317	5	7	21	6
4	1	33	1	2	0	368	333	136	12	-1	
5	1	33	1	2	1	368	333	29	12	0	MMG
5	1	33	1	2	2	388	325	36	28	0	ETST
5	1	33	1	2	3	428	334	32	9	0	ST
5	1	33	1	2	4	468	333	36	10	0	LETI
2	1	34	0	0	0	506	329	405	18	-1	
3	1	34	1	0	0	506	329	405	18	-1	
4	1	34	1	1	0	506	329	405	18	-1	
5	1	34	1	1	1	506	333	140	10	95	 
5	1	34	1	1	2	702	329	89	18	95	 
5	1	34	1	1	3	853	333	58	10	95	  
2	1	35	0	0	0	1207	338	224	41	-1	
3	1	35	1	0	0	1207	338	224	41	-1	
4	1	35	1	1	0	1271	338	96	10	-1	
5	1	35	1	1	1	1271	338	69	10	0	TELNE
5	1	35	1	1	2	1345	341	22	7	9	Te
4	1	35	1	2	0	1207	353	224	12	-1	
5	1	35	1	2	1	1211	353	24	12	0	ALL
5	1	35	1	2	2	1234	345	36	28	0	ELEG
5	1	35	1	2	3	1272	353	74	12	0	EZT
5	1	35	1	2	4	1332	345	28	28	0	eáts
5	1	35	1	2	5	1362	353	41	12	0	IZE
5	1	35	1	2	6	1408	356	23	9	0	KE
5	1	35	1	2	7	1427	345	7	28	0	l
4	1	35	1	3	0	1281	367	75	12	-1	
5	1	35	1	3	1	1281	367	75	12	0	NEZO
2	1	36	0	0	0	1322	345	4	5	-1	
3	1	36	1	0	0	1322	345	4	5	-1	
4	1	36	1	1	0	1322	345	4	5	-1	
5	1	36	1	1	1	1322	345	4	5	95	 
2	1	37	0	0	0	389	392	80	13	-1	
3	1	37	1	0	0	389	392	80	13	-1	
4	1	37	1	1	0	389	392	80	13	-1	
5	1	37	1	1	1	389	392	80	13	96	Beállítások
2	1	38	0	0	0	337	449	825	5	-1	
3	1	38	1	0	0	337	449	825	5	-1	
4	1	38	1	1	0	337	449	825	5	-1	
5	1	38	1	1	1	337	449	825	5	95	 
2	1	39	0	0	0	308	461	186	20	-1	
3	1	39	1	0	0	308	461	186	20	-1	
4	1	39	1	1	0	308	461	186	20	-1	
5	1	39	1	1	1	308	462	14	18	76	09
5	1	39	1	1	2	330	464	57	15	75	KIEMELT
5	1	39	1	1	3	398	457	12	32	26	.
5	1	39	1	1	4	412	461	20	20	67	O
5	1	39	1	1	5	441	461	53	18	96	ÉLŐBEN
2	1	40	0	0	0	1162	385	316	353	-1	
3	1	40	1	0	0	1162	385	316	353	-1	
4	1	40	1	1	0	1162	385	316	353	-1	
5	1	40	1	1	1	1162	385	316	353	95	   
2	1	41	0	0	0	548	460	87	19	-1	
3	1	41	1	0	0	548	460	87	19	-1	
4	1	41	1	1	0	548	460	87	19	-1	
5	1	41	1	1	1	548	460	87	19	96	KÖVETKEZIK
2	1	42	0	0	0	1407	471	55	8	-1	
3	1	42	1	0	0	1407	471	55	8	-1	
4	1	42	1	1	0	1407	471	55	8	-1	
5	1	42	1	1	1	1407	471	55	8	0	ELETINYI
2	1	43	0	0	0	512	458	30	26	-1	
3	1	43	1	0	0	512	458	30	26	-1	
4	1	43	1	1	0	512	458	30	26	-1	
5	1	43	1	1	1	512	458	30	26	95	 
2	1	44	0	0	0	825	510	161	27	-1	
3	1	44	1	0	0	825	510	161	27	-1	
4	1	44	1	1	0	825	510	161	27	-1	
5	1	44	1	1	1	825	517	20	12	95	   
5	1	44	1	1	2	957	510	29	27	95	 
2	1	45	0	0	0	350	505	782	39	-1	
3	1	45	1	0	0	350	505	782	39	-1	
4	1	45	1	1	0	350	505	782	39	-1	
5	1	45	1	1	1	350	517	17	13	60	1
5	1	45	1	1	2	414	509	27	27	53	9
5	1	45	1	1	3	487	505	37	39	18	OO
5	1	45	1	1	4	555	505	16	39	18	68
5	1	45	1	1	5	622	505	151	39	0	z6O8B0B08
5	1	45	1	1	6	1028	506	30	38	27	(c
2	1	46	0	0	0	1064	586	22	16	-1	
3	1	46	1	0	0	1064	586	22	16	-1	
4	1	46	1	1	0	1064	586	22	16	-1	
5	1	46	1	1	1	1064	586	22	16	95	 
2	1	47	0	0	0	732	642	22	5	-1	
3	1	47	1	0	0	732	642	22	5	-1	
4	1	47	1	1	0	732	642	22	5	-1	
